/var/spool/slurm/slurmd/job11400829/slurm_script: line 11: mmodule: command not found
Lmod has detected the following error: These module(s) or extension(s) exist
but cannot be loaded as requested: "Miniconda3/23.5.2-0"
   Try: "module spider Miniconda3/23.5.2-0" to see how to load the module(s).



wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: xiaweijie1996 (weijie_xia) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /gpfs/home4/wxia/TransformerEM-GMM/wandb/run-20250426_200040-5m8cskpn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run lucky-universe-12
wandb: ⭐️ View project at https://wandb.ai/weijie_xia/timesnet_mmd
wandb: 🚀 View run at https://wandb.ai/weijie_xia/timesnet_mmd/runs/5m8cskpn
3516776
shape of data:  (10000, 250, 97)
Epoch 1, Sub-Epoch 1, Loss: 0.0416024848818779
Epoch 1, Sub-Epoch 2, Loss: 0.0394807867705822
Epoch 1, Sub-Epoch 3, Loss: 0.038686979562044144
Epoch 1, Sub-Epoch 4, Loss: 0.0348578616976738
Epoch 1, Sub-Epoch 5, Loss: 0.03803723305463791
Epoch 1, Sub-Epoch 6, Loss: 0.03783030062913895
Epoch 1, Sub-Epoch 7, Loss: 0.03750636801123619
Epoch 1, Sub-Epoch 8, Loss: 0.04313528165221214
Epoch 1, Sub-Epoch 9, Loss: 0.04122260585427284
Epoch 1, Sub-Epoch 10, Loss: 0.03876737505197525
Epoch 1, Sub-Epoch 11, Loss: 0.038568366318941116
Epoch 1, Sub-Epoch 12, Loss: 0.04037735238671303
Epoch 1, Sub-Epoch 13, Loss: 0.0388115793466568
Epoch 1, Sub-Epoch 14, Loss: 0.046702463179826736
Epoch 1, Sub-Epoch 15, Loss: 0.035532813519239426
Epoch 1, Sub-Epoch 16, Loss: 0.0426250658929348
Epoch 1, Sub-Epoch 17, Loss: 0.03512158989906311
Epoch 1, Sub-Epoch 18, Loss: 0.03589693456888199
Epoch 1, Sub-Epoch 19, Loss: 0.03971081227064133
Epoch 1, Sub-Epoch 20, Loss: 0.037473320960998535
Epoch 1, Sub-Epoch 21, Loss: 0.03801994025707245
Epoch 1, Sub-Epoch 22, Loss: 0.0370180644094944
Epoch 1, Sub-Epoch 23, Loss: 0.04142226651310921
Epoch 1, Sub-Epoch 24, Loss: 0.03881801292300224
Epoch 1, Sub-Epoch 25, Loss: 0.047624919563531876
Epoch 1, Sub-Epoch 26, Loss: 0.042003877460956573
Epoch 1, Sub-Epoch 27, Loss: 0.03792441636323929
Epoch 1, Sub-Epoch 28, Loss: 0.045448847115039825
Epoch 1, Sub-Epoch 29, Loss: 0.03510511294007301
Epoch 1, Sub-Epoch 30, Loss: 0.03466833755373955
Epoch 1, Sub-Epoch 31, Loss: 0.03951055184006691
Epoch 1, Sub-Epoch 32, Loss: 0.04014936089515686
Epoch 1, Sub-Epoch 33, Loss: 0.034624069929122925
Epoch 1, Sub-Epoch 34, Loss: 0.0431843139231205
Epoch 1, Sub-Epoch 35, Loss: 0.040423259139060974
Epoch 1, Sub-Epoch 36, Loss: 0.035546109080314636
Epoch 1, Sub-Epoch 37, Loss: 0.044752467423677444
Epoch 1, Sub-Epoch 38, Loss: 0.035899367183446884
Epoch 1, Sub-Epoch 39, Loss: 0.03493513539433479
Epoch 1, Sub-Epoch 40, Loss: 0.040306951850652695
Epoch 1, Sub-Epoch 41, Loss: 0.04563676193356514
Epoch 1, Sub-Epoch 42, Loss: 0.043246764689683914
Epoch 1, Sub-Epoch 43, Loss: 0.03928254172205925
Epoch 1, Sub-Epoch 44, Loss: 0.03655649721622467
Epoch 1, Sub-Epoch 45, Loss: 0.038175344467163086
Epoch 1, Sub-Epoch 46, Loss: 0.0353318452835083
Epoch 1, Sub-Epoch 47, Loss: 0.037062834948301315
Epoch 1, Sub-Epoch 48, Loss: 0.037006404250860214
Epoch 1, Sub-Epoch 49, Loss: 0.03533842787146568
Epoch 1, Sub-Epoch 50, Loss: 0.039731185883283615
Epoch 1, Sub-Epoch 51, Loss: 0.03973614424467087
Epoch 1, Sub-Epoch 52, Loss: 0.034162625670433044
Epoch 1, Sub-Epoch 53, Loss: 0.038295481353998184
Epoch 1, Sub-Epoch 54, Loss: 0.05103278160095215
